job,age,campaign,euribor3m,y
housemaid,56,1,4.857,0
services,57,1,4.857,0
services,37,1,4.857,0
admin.,40,1,4.857,0
services,56,1,4.857,0
services,45,1,4.857,0
admin.,59,1,4.857,0
blue-collar,41,1,4.857,0
technician,24,1,4.857,0
services,25,1,4.857,0
blue-collar,41,1,4.857,0
services,25,1,4.857,0
blue-collar,29,1,4.857,0
housemaid,57,1,4.857,0
blue-collar,35,1,4.857,0
retired,54,1,4.857,0
blue-collar,35,1,4.857,0
blue-collar,46,1,4.857,0
blue-collar,50,1,4.857,0
management,39,1,4.857,0
unemployed,30,1,4.857,0
blue-collar,55,1,4.857,0
retired,55,1,4.857,0
technician,41,1,4.857,0
admin.,37,1,4.857,0
technician,35,1,4.857,0
technician,59,1,4.857,0
self-employed,39,1,4.857,0
technician,54,2,4.857,0
unknown,55,1,4.857,0
admin.,46,1,4.857,0
technician,59,1,4.857,0
blue-collar,49,1,4.857,0
management,54,1,4.857,0
blue-collar,54,1,4.857,0
unknown,55,1,4.857,0
services,34,1,4.857,0
technician,52,1,4.857,0
admin.,41,1,4.857,0
technician,56,1,4.857,0
management,58,1,4.857,0
entrepreneur,32,1,4.857,0
admin.,38,1,4.857,0
admin.,57,1,4.857,0
admin.,44,1,4.857,0
technician,42,1,4.857,0
admin.,57,1,4.857,0
blue-collar,40,1,4.857,0
admin.,35,1,4.857,0
blue-collar,45,2,4.857,0
admin.,54,1,4.857,0
housemaid,39,1,4.857,0
admin.,60,1,4.857,0
admin.,53,1,4.857,0
blue-collar,55,2,4.857,0
technician,55,1,4.857,0
management,50,1,4.857,0
services,45,1,4.857,0
unemployed,55,1,4.857,0
technician,25,1,4.857,0
entrepreneur,47,1,4.857,0
blue-collar,51,1,4.857,0
blue-collar,42,1,4.857,0
blue-collar,42,1,4.857,0
admin.,48,1,4.857,0
admin.,37,1,4.857,0
blue-collar,44,1,4.857,0
admin.,33,1,4.857,0
admin.,56,2,4.857,0
blue-collar,44,1,4.857,0
management,41,1,4.857,0
management,44,1,4.857,0
admin.,47,1,4.857,0
unknown,57,1,4.857,0
admin.,37,1,4.857,0
blue-collar,41,1,4.857,1
technician,55,1,4.857,0
services,33,2,4.857,0
management,55,1,4.857,0
blue-collar,42,1,4.857,0
blue-collar,50,1,4.857,0
blue-collar,51,1,4.857,0
admin.,38,2,4.857,0
entrepreneur,49,1,4.857,1
technician,38,1,4.857,0
admin.,31,1,4.857,0
management,41,2,4.857,0
admin.,39,1,4.857,0
technician,49,1,4.857,1
admin.,34,2,4.857,0
admin.,35,2,4.857,0
unknown,57,1,4.857,0
admin.,60,2,4.857,0
unemployed,33,1,4.857,0
blue-collar,42,1,4.857,0
services,45,1,4.857,0
management,42,1,4.857,0
admin.,53,1,4.857,0
technician,37,1,4.857,0
blue-collar,44,1,4.857,0
services,54,1,4.857,0
blue-collar,49,3,4.857,0
services,54,1,4.857,0
admin.,52,1,4.857,0
admin.,52,1,4.857,0
services,43,1,4.857,0
housemaid,34,2,4.857,0
admin.,35,2,4.857,0
entrepreneur,42,1,4.857,0
technician,43,1,4.857,0
retired,60,1,4.857,0
unemployed,58,2,4.857,0
services,35,1,4.857,0
blue-collar,55,2,4.857,0
management,37,2,4.857,0
blue-collar,36,1,4.857,0
admin.,52,2,4.857,0
blue-collar,57,1,4.857,0
admin.,56,1,4.857,0
blue-collar,48,1,4.857,0
blue-collar,40,1,4.857,0
blue-collar,49,1,4.857,0
services,41,1,4.857,0
technician,45,1,4.857,0
admin.,32,1,4.857,0
admin.,42,2,4.857,0
admin.,50,1,4.857,0
technician,31,1,4.857,0
retired,56,2,4.857,0
technician,41,1,4.857,1
blue-collar,37,1,4.857,0
technician,41,1,4.857,0
blue-collar,35,1,4.857,0
blue-collar,37,1,4.857,0
management,52,1,4.857,0
management,39,1,4.857,0
housemaid,39,2,4.857,0
blue-collar,56,2,4.857,0
services,34,2,4.857,0
blue-collar,45,1,4.857,1
unemployed,43,1,4.857,0
management,56,1,4.857,0
management,39,1,4.857,0
blue-collar,53,1,4.857,0
unknown,38,1,4.857,0
blue-collar,42,1,4.857,0
blue-collar,42,1,4.857,0
admin.,35,1,4.857,0
admin.,40,1,4.857,0
blue-collar,51,1,4.857,0
blue-collar,60,1,4.857,0
entrepreneur,56,1,4.857,0
services,39,1,4.857,0
entrepreneur,56,1,4.857,0
blue-collar,40,1,4.857,0
blue-collar,36,1,4.857,0
blue-collar,51,1,4.857,0
blue-collar,51,1,4.857,0
technician,43,2,4.857,0
services,59,2,4.857,0
management,24,2,4.857,0
blue-collar,37,2,4.857,0
blue-collar,40,1,4.857,0
blue-collar,42,3,4.857,0
services,39,1,4.857,0
entrepreneur,37,1,4.857,0
services,38,1,4.857,0
admin.,56,2,4.857,0
blue-collar,40,2,4.857,0
management,54,2,4.857,0
blue-collar,43,1,4.857,0
services,36,1,4.857,0
technician,45,1,4.857,0
admin.,42,1,4.857,0
services,43,3,4.857,0
management,46,2,4.857,0
services,44,1,4.857,0
admin.,51,2,4.857,0
services,28,1,4.857,0
blue-collar,37,1,4.857,0
technician,34,1,4.857,0
blue-collar,46,1,4.857,0
blue-collar,42,2,4.857,1
admin.,36,3,4.857,0
blue-collar,54,1,4.857,0
management,57,1,4.857,0
technician,51,1,4.857,0
retired,54,1,4.857,0
blue-collar,49,1,4.857,0
admin.,34,1,4.857,0
technician,41,1,4.857,0
blue-collar,38,2,4.857,0
management,45,2,4.857,0
technician,42,2,4.857,0
blue-collar,34,1,4.857,0
blue-collar,48,1,4.857,0
admin.,37,1,4.857,0
blue-collar,34,1,4.857,0
admin.,40,2,4.857,0
blue-collar,43,1,4.857,0
services,33,2,4.857,0
services,32,1,4.857,0
blue-collar,39,2,4.857,0
admin.,43,1,4.857,0
blue-collar,44,1,4.857,0
student,35,1,4.857,0
student,35,1,4.857,0
unemployed,35,1,4.857,0
services,36,1,4.857,0
student,35,1,4.857,0
student,36,1,4.857,0
housemaid,55,1,4.857,0
admin.,59,1,4.857,0
retired,57,2,4.857,0
blue-collar,39,1,4.857,0
housemaid,39,2,4.857,0
blue-collar,30,1,4.857,0
blue-collar,30,1,4.857,0
housemaid,50,1,4.857,0
services,40,3,4.857,0
admin.,35,2,4.857,0
technician,43,2,4.857,0
services,36,1,4.857,0
technician,46,1,4.857,0
technician,40,1,4.857,0
retired,58,1,4.857,0
technician,42,2,4.857,0
admin.,35,2,4.857,0
retired,43,3,4.857,0
blue-collar,45,1,4.857,0
admin.,39,2,4.857,0
services,50,1,4.857,0
management,32,2,4.857,0
admin.,39,1,4.857,0
self-employed,52,1,4.857,0
admin.,44,1,4.857,0
blue-collar,56,1,4.857,0
admin.,48,2,4.857,0
services,33,2,4.857,0
management,43,3,4.857,0
retired,57,2,4.857,0
technician,36,1,4.857,0
management,34,1,4.857,0
services,34,2,4.857,0
technician,30,1,4.857,0
services,33,2,4.857,0
technician,32,1,4.857,0
technician,36,2,4.857,0
blue-collar,36,1,4.857,0
services,33,1,4.857,0
technician,40,1,4.857,0
blue-collar,41,1,4.857,0
services,51,1,4.857,0
technician,36,3,4.857,0
services,28,2,4.857,0
services,53,3,4.857,0
blue-collar,58,2,4.857,0
management,45,1,4.857,0
technician,43,1,4.857,0
admin.,33,1,4.857,0
admin.,33,1,4.857,0
blue-collar,27,1,4.857,0
technician,42,1,4.857,0
admin.,43,3,4.857,0
admin.,42,2,4.857,0
blue-collar,27,1,4.857,0
self-employed,34,2,4.857,0
student,31,2,4.857,0
management,54,2,4.857,0
self-employed,40,3,4.857,0
unemployed,52,1,4.857,0
management,47,2,4.857,0
housemaid,49,1,4.857,0
admin.,32,2,4.857,0
housemaid,49,2,4.857,0
blue-collar,50,1,4.857,0
services,34,1,4.857,0
blue-collar,55,2,4.857,0
technician,47,4,4.857,0
retired,51,3,4.857,0
blue-collar,47,2,4.857,0
technician,56,3,4.857,0
admin.,53,3,4.857,0
blue-collar,36,2,4.857,0
blue-collar,42,2,4.857,0
blue-collar,44,2,4.857,0
housemaid,39,3,4.857,1
admin.,37,2,4.857,0
blue-collar,60,2,4.857,0
services,36,2,4.857,0
management,42,2,4.857,0
admin.,31,2,4.857,0
technician,53,2,4.857,0
blue-collar,45,2,4.857,0
technician,37,2,4.857,0
self-employed,47,2,4.857,0
blue-collar,49,2,4.857,0
admin.,36,2,4.857,0
services,35,3,4.857,0
unknown,38,4,4.857,0
services,38,2,4.857,0
blue-collar,50,2,4.857,0
retired,59,2,4.857,0
unknown,43,2,4.857,0
admin.,42,2,4.857,0
admin.,40,2,4.857,0
blue-collar,46,2,4.857,0
housemaid,57,2,4.857,0
admin.,42,3,4.857,0
blue-collar,41,2,4.857,0
management,54,3,4.857,0
admin.,27,2,4.857,0
admin.,36,2,4.857,0
blue-collar,58,2,4.857,0
management,40,2,4.857,0
admin.,34,2,4.857,0
admin.,33,2,4.857,0
retired,56,2,4.857,0
blue-collar,42,2,4.857,0
services,43,2,4.857,0
management,54,3,4.857,0
admin.,53,2,4.857,0
technician,42,2,4.857,0
services,40,3,4.857,0
technician,54,2,4.857,0
housemaid,40,4,4.857,0
admin.,26,3,4.857,0
admin.,33,3,4.857,0
blue-collar,35,2,4.857,0
admin.,36,3,4.857,0
services,29,2,4.857,0
blue-collar,36,2,4.857,0
management,35,5,4.857,0
self-employed,50,5,4.857,0
services,46,3,4.857,0
entrepreneur,49,4,4.857,0
technician,42,2,4.857,0
blue-collar,36,3,4.857,0
blue-collar,55,2,4.857,0
management,41,2,4.857,0
management,57,3,4.857,0
services,32,3,4.857,0
admin.,49,3,4.857,0
unknown,57,2,4.857,0
blue-collar,58,2,4.857,0
technician,52,2,4.857,0
services,50,2,4.857,0
blue-collar,41,4,4.857,0
entrepreneur,33,3,4.857,0
blue-collar,57,2,4.857,0
blue-collar,48,3,4.857,0
technician,55,2,4.857,0
management,38,2,4.857,0
services,38,3,4.857,0
admin.,53,2,4.857,0
unemployed,43,4,4.857,0
blue-collar,36,2,4.857,0
blue-collar,32,2,4.857,0
services,33,3,4.857,0
entrepreneur,58,2,4.857,0
unemployed,40,3,4.857,0
management,57,2,4.857,0
technician,45,3,4.857,0
blue-collar,42,3,4.857,0
admin.,46,1,4.857,0
technician,36,1,4.857,0
self-employed,41,1,4.857,0
admin.,57,1,4.857,0
blue-collar,49,1,4.857,0
management,56,1,4.857,0
blue-collar,37,1,4.857,0
blue-collar,37,1,4.857,0
admin.,46,1,4.857,0
blue-collar,22,1,4.857,0
services,43,1,4.857,0
blue-collar,49,1,4.857,0
technician,41,1,4.857,0
admin.,38,1,4.857,0
admin.,33,1,4.857,0
admin.,49,1,4.857,0
blue-collar,30,2,4.857,0
admin.,33,1,4.857,0
management,34,1,4.857,0
student,30,1,4.857,0
management,59,1,4.857,0
management,59,1,4.857,0
self-employed,41,1,4.857,0
housemaid,48,4,4.857,0
unknown,28,1,4.857,1
services,44,1,4.857,1
retired,59,1,4.857,0
management,50,1,4.857,0
admin.,35,1,4.857,0
admin.,42,1,4.857,0
admin.,45,1,4.857,0
technician,36,2,4.857,0
services,56,3,4.857,0
blue-collar,29,1,4.857,0
self-employed,41,2,4.857,0
blue-collar,42,1,4.857,0
services,52,1,4.857,0
services,48,1,4.857,0
blue-collar,31,1,4.857,0
unemployed,43,1,4.857,0
blue-collar,36,1,4.857,0
entrepreneur,42,1,4.857,0
services,52,1,4.857,0
admin.,39,2,4.857,0
services,36,2,4.857,0
blue-collar,42,1,4.857,0
admin.,41,1,4.857,0
technician,55,1,4.857,0
blue-collar,30,1,4.857,0
retired,57,1,4.857,0
entrepreneur,45,1,4.857,0
blue-collar,51,2,4.857,0
self-employed,39,1,4.857,0
admin.,47,1,4.857,0
services,27,1,4.857,0
technician,34,1,4.857,0
blue-collar,57,1,4.857,0
entrepreneur,43,1,4.857,0
blue-collar,49,1,4.857,0
management,39,3,4.857,0
blue-collar,38,1,4.857,0
blue-collar,49,2,4.857,0
management,58,1,4.857,0
technician,43,1,4.857,0
unknown,50,3,4.857,0
services,31,1,4.857,0
self-employed,43,1,4.857,0
self-employed,43,1,4.857,0
self-employed,30,1,4.857,0
services,27,1,4.857,0
services,51,1,4.857,0
technician,37,2,4.857,0
housemaid,46,1,4.857,0
blue-collar,35,1,4.857,0
admin.,47,1,4.857,0
management,46,1,4.857,0
technician,40,1,4.857,0
housemaid,26,1,4.857,0
blue-collar,32,2,4.857,0
management,45,1,4.857,0
admin.,34,1,4.857,0
blue-collar,47,1,4.857,0
technician,42,1,4.857,1
technician,57,1,4.857,0
technician,57,1,4.857,0
blue-collar,38,1,4.857,0
technician,57,1,4.857,0
student,28,1,4.857,0
management,60,2,4.857,0
admin.,48,1,4.857,0
technician,47,1,4.857,0
admin.,40,1,4.857,0
management,51,2,4.857,0
unemployed,48,1,4.857,0
housemaid,54,2,4.857,0
blue-collar,40,1,4.857,0
admin.,44,1,4.857,0
technician,42,4,4.857,0
self-employed,52,1,4.857,0
blue-collar,31,1,4.857,0
services,32,1,4.857,0
admin.,44,1,4.857,0
management,39,1,4.857,0
management,57,3,4.857,0
admin.,52,1,4.857,0
management,42,1,4.857,1
technician,42,1,4.857,0
management,43,1,4.857,0
admin.,31,1,4.857,0
admin.,29,1,4.857,0
blue-collar,57,2,4.857,0
blue-collar,44,1,4.857,0
unknown,59,1,4.857,0
blue-collar,39,1,4.857,0
retired,57,1,4.857,0
management,41,1,4.857,0
technician,37,1,4.857,0
services,38,1,4.857,0
retired,42,1,4.857,0
unknown,49,1,4.857,0
management,54,1,4.857,0
admin.,36,2,4.857,0
admin.,32,1,4.857,0
technician,35,1,4.857,0
housemaid,45,2,4.857,0
technician,56,2,4.857,0
technician,34,2,4.857,0
unemployed,41,2,4.857,0
services,41,2,4.857,0
blue-collar,36,1,4.857,0
admin.,32,1,4.857,0
services,31,1,4.857,0
technician,38,1,4.857,0
admin.,35,1,4.857,0
admin.,53,2,4.857,0
admin.,51,1,4.857,0
entrepreneur,56,1,4.857,0
admin.,33,1,4.857,0
admin.,33,1,4.857,0
services,51,1,4.857,0
services,39,1,4.857,1
entrepreneur,45,1,4.857,0
technician,40,3,4.857,0
unknown,60,1,4.857,0
technician,33,1,4.857,0
blue-collar,47,1,4.857,0
blue-collar,48,1,4.857,0
entrepreneur,43,2,4.857,0
management,37,1,4.857,0
services,50,1,4.857,0
entrepreneur,59,1,4.857,0
technician,32,2,4.857,0
housemaid,42,1,4.857,0
blue-collar,52,2,4.857,0
blue-collar,42,2,4.857,0
admin.,42,1,4.857,0
management,40,1,4.857,0
blue-collar,38,1,4.857,0
blue-collar,39,1,4.857,0
blue-collar,39,1,4.857,0
admin.,38,1,4.857,0
admin.,47,1,4.857,0
services,30,1,4.857,0
admin.,38,2,4.857,0
technician,39,1,4.857,0
admin.,44,2,4.857,0
admin.,36,2,4.857,0
services,41,1,4.857,0
blue-collar,41,1,4.857,0
blue-collar,35,2,4.857,0
technician,41,1,4.857,0
services,36,1,4.857,0
admin.,35,1,4.857,0
blue-collar,33,1,4.857,0
admin.,38,1,4.857,0
self-employed,33,1,4.857,0
self-employed,55,1,4.857,0
blue-collar,36,1,4.857,0
technician,57,1,4.857,0
entrepreneur,32,2,4.857,0
self-employed,30,1,4.857,0
admin.,43,2,4.857,0
admin.,46,2,4.857,0
admin.,35,2,4.857,0
admin.,34,1,4.857,0
blue-collar,50,1,4.857,0
admin.,39,2,4.857,0
blue-collar,39,1,4.857,0
entrepreneur,42,2,4.857,0
retired,57,1,4.857,0
blue-collar,45,1,4.857,0
technician,40,1,4.857,0
blue-collar,42,3,4.857,1
technician,40,1,4.857,0
blue-collar,38,1,4.857,0
blue-collar,39,1,4.857,0
blue-collar,41,1,4.857,0
blue-collar,39,1,4.857,0
blue-collar,41,1,4.857,0
admin.,45,1,4.857,0
admin.,35,1,4.857,0
admin.,35,1,4.857,0
blue-collar,49,1,4.857,0
technician,36,2,4.857,0
admin.,23,3,4.857,0
unemployed,43,2,4.857,0
entrepreneur,49,2,4.857,0
technician,36,2,4.857,0
blue-collar,51,2,4.857,0
retired,56,4,4.857,0
housemaid,45,2,4.857,0
admin.,42,3,4.857,0
admin.,41,4,4.857,0
services,32,2,4.857,0
management,46,2,4.857,0
blue-collar,37,3,4.857,0
management,53,1,4.857,0
blue-collar,30,2,4.857,0
unknown,45,1,4.857,0
technician,24,2,4.857,0
unknown,45,1,4.857,0
admin.,34,2,4.857,0
management,41,2,4.857,0
blue-collar,59,2,4.857,0
blue-collar,45,1,4.857,0
blue-collar,54,5,4.857,0
technician,32,3,4.857,0
technician,33,2,4.857,0
admin.,32,1,4.857,0
services,34,2,4.857,0
management,46,2,4.857,0
technician,57,4,4.857,0
technician,42,1,4.857,0
admin.,48,2,4.857,0
admin.,58,1,4.857,0
services,34,1,4.857,0
admin.,32,1,4.857,0
blue-collar,48,2,4.857,0
blue-collar,47,1,4.857,0
services,31,1,4.857,0
admin.,32,1,4.857,0
admin.,32,1,4.857,0
services,36,1,4.857,0
blue-collar,53,2,4.857,0
blue-collar,37,5,4.857,0
services,50,1,4.857,0
blue-collar,46,2,4.857,0
admin.,41,1,4.857,0
blue-collar,43,1,4.857,0
management,51,3,4.857,0
admin.,38,1,4.857,0
technician,41,2,4.857,0
services,39,4,4.857,0
blue-collar,52,2,4.857,0
technician,37,2,4.857,0
admin.,41,3,4.857,0
admin.,46,1,4.857,0
technician,47,4,4.857,0
technician,35,3,4.857,0
services,38,2,4.857,0
blue-collar,30,2,4.857,0
blue-collar,46,1,4.857,0
technician,30,1,4.857,0
services,35,1,4.857,0
admin.,58,2,4.857,0
technician,40,2,4.857,0
technician,34,2,4.857,0
admin.,30,1,4.857,0
services,38,2,4.857,0
management,55,1,4.857,0
management,55,3,4.857,0
technician,45,2,4.857,0
admin.,36,2,4.857,0
admin.,32,2,4.857,0
technician,35,3,4.857,0
management,55,5,4.857,0
housemaid,49,2,4.857,0
admin.,29,3,4.857,0
blue-collar,34,2,4.857,0
retired,54,1,4.857,0
technician,36,2,4.857,0
management,30,3,4.857,0
housemaid,33,1,4.857,0
blue-collar,37,1,4.857,0
technician,36,2,4.857,0
blue-collar,33,1,4.857,0
housemaid,32,1,4.857,0
housemaid,32,1,4.857,0
blue-collar,50,1,4.857,0
blue-collar,39,2,4.857,0
blue-collar,51,2,4.857,0
services,33,2,4.857,0
services,33,4,4.857,0
management,56,2,4.857,0
management,39,2,4.857,0
self-employed,33,3,4.857,0
